TITLE,ARTIST,GENRE,YEAR,BPM,ENERGY,dB,DURATION,SPEECH,POPULARITY
Birthday,Katy Perry,dance pop,2014,126,67,-5,215,7,65
Legendary Lovers,Katy Perry,dance pop,2015,126,84,-5,224,8,41
Rise,Katy Perry,dance pop,2016,101,64,-6,203,5,66
Swish Swish,Katy Perry,dance pop,2017,120,71,-5,243,4,73
Chained To The Rhythm,Katy Perry,dance pop,2017,190,80,-5,238,17,72
Bon appétit,Katy Perry,dance pop,2017,106,79,-6,228,6,68
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,94,-4,222,5,74
Underneath the Tree,Kelly Clarkson,dance pop,2013,160,81,-5,230,5,88
People Like Us,Kelly Clarkson,dance pop,2013,128,79,-5,259,4,45
Heartbeat Song,Kelly Clarkson,dance pop,2015,149,80,-4,199,5,69
Run Run Run,Kelly Clarkson,dance pop,2015,112,37,-7,273,4,36
Freak,Kelly Rowland,atl hip hop,2013,104,78,-5,274,6,28
TiK ToK,Kesha,dance pop,2010,120,84,-3,200,14,80
Your Love Is My Drug,Kesha,dance pop,2010,120,61,-4,187,10,69
Take It Off,Kesha,dance pop,2010,125,68,-5,215,3,66
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120,84,-3,172,12,62
We R Who We R,Kesha,dance pop,2011,120,82,-5,205,4,72
Blow,Kesha,dance pop,2011,120,73,-4,220,4,64
Die Young,Kesha,dance pop,2013,128,70,-5,212,5,75
Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,128,75,-4,229,4,46
Praying,Kesha,dance pop,2017,73,39,-7,230,3,77
Talk (feat. Disclosure),Khalid,alternative r&b,2019,136,40,-9,198,13,84
It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,53,-7,221,7,79
First Time,Kygo,edm,2017,90,59,-7,194,11,71
First Time,Kygo,edm,2018,90,59,-7,194,11,71
Higher Love,Kygo,edm,2019,104,68,-7,228,3,88
Beneath Your Beautiful,Labrinth,pop,2013,84,52,-6,272,4,70
Bad Romance,Lady Gaga,dance pop,2010,119,92,-4,295,4,79
Telephone,Lady Gaga,dance pop,2010,122,83,-6,221,4,73
Alejandro,Lady Gaga,dance pop,2010,99,80,-7,274,5,69
Born This Way,Lady Gaga,dance pop,2011,124,83,-5,260,16,73
The Edge Of Glory,Lady Gaga,dance pop,2011,128,77,-6,321,4,67
You And I,Lady Gaga,dance pop,2011,127,70,-5,307,5,64
Judas,Lady Gaga,dance pop,2011,131,93,-4,249,7,63
Marry The Night,Lady Gaga,dance pop,2011,131,88,-4,265,6,61
Applause,Lady Gaga,dance pop,2013,140,78,-4,212,5,52
G.U.Y.,Lady Gaga,dance pop,2014,110,92,-3,233,4,65
Million Reasons,Lady Gaga,dance pop,2016,130,42,-8,205,4,80
Perfect Illusion,Lady Gaga,dance pop,2016,125,86,-5,182,4,67
The Cure,Lady Gaga,dance pop,2017,100,51,-5,211,3,71
Shallow - Radio Edit,Lady Gaga,dance pop,2018,96,33,-7,217,3,80
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126,81,-6,215,6,74
Love,Lana Del Rey,art pop,2017,99,37,-11,273,3,72
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop,2017,135,57,-9,261,13,67
Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017,100,67,-9,264,6,54
Cannonball,Lea Michele,hollywood,2014,92,82,-3,215,5,37
Someone You Loved,Lewis Capaldi,pop,2019,110,41,-6,182,3,96
Strip That Down (feat. Quavo),Liam Payne,dance pop,2017,106,50,-5,202,5,69
Familiar,Liam Payne,dance pop,2018,93,81,-5,197,33,72
For You (With Rita Ora),Liam Payne,dance pop,2018,113,80,-5,243,3,67
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,123,89,-5,189,3,58
Sheezus,Lily Allen,dance pop,2014,130,50,-7,235,4,37
Move,Little Mix,dance pop,2013,121,74,-5,224,9,63
How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,201,95,-3,211,48,50
Love Me Like You,Little Mix,dance pop,2015,106,67,-4,198,4,65
Shout Out to My Ex,Little Mix,dance pop,2016,126,75,-4,246,9,77
Touch (feat. Kid Ink),Little Mix,dance pop,2017,102,75,-4,203,11,59
Truth Hurts,Lizzo,escape room,2019,158,62,-3,173,11,90
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019,96,89,-3,159,6,90
Party Rock Anthem,LMFAO,dance pop,2011,130,74,-4,262,16,72
Sexy And I Know It,LMFAO,dance pop,2011,130,86,-4,199,32,67
Team,Lorde,art pop,2014,100,58,-7,193,9,73
Reality - Radio Edit,Lost Frequencies,belgian edm,2015,122,70,-8,159,3,61
Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm,2017,122,64,-7,158,4,59
Despacito - Remix,Luis Fonsi,latin,2017,178,82,-4,229,17,76
7 Years,Lukas Graham,danish pop,2016,120,47,-6,237,5,80
Don't Call Me Up,Mabel,dance pop,2019,99,88,-3,178,15,86
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013,146,93,-4,258,8,70
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013,95,53,-7,236,29,69
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,110,61,-4,293,7,70
Ghosttown,Madonna,dance pop,2015,79,55,-7,250,4,54
Living For Love,Madonna,dance pop,2015,123,79,-5,219,9,52
Rude,MAGIC!,pop,2014,144,76,-5,225,4,79
Cold Water (feat. Justin Bieber & MØ),Major Lazer,dance pop,2016,93,80,-5,185,4,73
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,2016,108,88,-4,166,7,73
#Beautiful,Mariah Carey,dance pop,2013,107,76,-5,200,4,51
You're Mine (Eternal),Mariah Carey,dance pop,2014,149,58,-7,224,7,38
Uptown Funk,Mark Ronson,dance pop,2015,115,61,-7,270,8,82
Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,2019,104,66,-7,176,3,75
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2019,114,79,-6,217,7,69
Misery,Maroon 5,pop,2010,103,81,-5,216,4,65
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128,76,-4,201,5,76
Payphone,Maroon 5,pop,2012,110,75,-5,231,4,79
One More Night,Maroon 5,pop,2012,93,82,-3,220,3,73
Daylight,Maroon 5,pop,2013,120,67,-5,225,3,66
Love Somebody,Maroon 5,pop,2013,120,78,-6,230,4,65
Maps,Maroon 5,pop,2014,120,71,-6,190,3,78
Sugar,Maroon 5,pop,2015,120,79,-7,235,3,81
Animals,Maroon 5,pop,2015,190,74,-6,231,9,76
Sugar,Maroon 5,pop,2015,120,79,-7,235,3,66
Cold (feat. Future),Maroon 5,pop,2017,100,72,-6,234,11,72
What Lovers Do (feat. SZA),Maroon 5,pop,2018,110,60,-5,200,6,79
Wait,Maroon 5,pop,2018,126,60,-5,191,6,67
Memories,Maroon 5,pop,2019,91,32,-7,189,5,99
Girls Like You (feat. Cardi B),Maroon 5,pop,2019,125,54,-7,236,5,81
Silence,Marshmello,brostep,2018,142,76,-3,181,9,82
Happier,Marshmello,brostep,2019,100,79,-3,214,5,90
In the Name of Love,Martin Garrix,big room,2016,134,52,-6,196,4,81
There for You,Martin Garrix,big room,2017,106,64,-8,222,6,76
Hello,Martin Solveig,big room,2010,128,98,-3,191,3,0
Dear Future Husband,Meghan Trainor,dance pop,2015,79,78,-5,184,19,72
Lips Are Movin,Meghan Trainor,dance pop,2015,139,83,-5,183,5,68
All About That Bass,Meghan Trainor,dance pop,2015,134,88,-4,189,5,65
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016,108,53,-7,225,4,79
Me Too,Meghan Trainor,dance pop,2016,124,69,-6,181,10,73
NO,Meghan Trainor,dance pop,2016,92,80,-4,214,22,70
Love Never Felt So Good,Michael Jackson,pop,2014,118,72,-6,246,4,71
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,-5,213,5,73
Please Don't Go,Mike Posner,dance pop,2011,120,88,-4,197,3,63
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102,71,-7,198,11,78
We Can't Stop,Miley Cyrus,dance pop,2013,80,62,-6,231,3,78
Wrecking Ball,Miley Cyrus,dance pop,2013,120,42,-6,221,3,77
Adore You,Miley Cyrus,dance pop,2014,120,66,-5,279,3,72
Malibu,Miley Cyrus,dance pop,2017,140,78,-6,232,6,78
Younger Now,Miley Cyrus,dance pop,2017,122,87,-5,249,6,62
WTF (Where They From),Missy Elliott,dance pop,2016,120,82,-3,193,20,58
Pep Rally,Missy Elliott,dance pop,2016,90,75,-4,263,12,47
Final Song,MØ,dance pop,2016,105,67,-6,236,3,72
Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,120,51,-9,208,4,77
Lemon,N.E.R.D,hip hop,2018,95,73,-7,220,9,68
Runnin' (Lose It All),Naughty Boy,tropical house,2015,139,85,-6,213,8,69
Runnin' (Lose It All),Naughty Boy,tropical house,2016,139,85,-6,213,8,69
Behind Your Back,Nelly Furtado,canadian latin,2016,98,47,-10,228,4,18
Animal,Neon Trees,indie pop,2010,148,83,-6,212,4,65
Everybody Talks,Neon Trees,indie pop,2013,155,92,-4,177,6,74
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,125,68,-7,252,4,70
Slow Hands,Niall Horan,dance pop,2017,86,42,-7,188,5,64
This Town,Niall Horan,dance pop,2018,112,41,-8,233,3,64
Jealous - Remix,Nick Jonas,dance pop,2015,93,71,-4,222,8,70
Close,Nick Jonas,dance pop,2016,124,62,-5,234,8,72
Champagne Problems,Nick Jonas,dance pop,2016,108,78,-5,193,13,50
Remember I Told You,Nick Jonas,dance pop,2017,113,53,-6,202,28,53
Super Bass,Nicki Minaj,dance pop,2011,127,74,-7,201,23,38
Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,130,88,-4,279,38,28
Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,98,72,-5,227,33,7
Starships,Nicki Minaj,dance pop,2012,125,72,-2,211,8,73
Anaconda,Nicki Minaj,dance pop,2014,130,60,-6,260,18,50
Chun-Li,Nicki Minaj,dance pop,2018,129,73,-5,192,37,73
Up,Olly Murs,dance pop,2015,115,85,-5,224,3,69
What Makes You Beautiful,One Direction,boy band,2012,125,79,-2,200,7,78
Story of My Life,One Direction,boy band,2013,121,66,-6,245,5,81
Best Song Ever,One Direction,boy band,2013,118,88,-3,200,5,73
Kiss You,One Direction,boy band,2013,90,93,-3,183,6,73
Night Changes,One Direction,boy band,2015,120,52,-8,227,4,77
Perfect,One Direction,boy band,2015,100,82,-5,230,8,55
Steal My Girl,One Direction,boy band,2015,77,76,-6,227,4,51
Secrets,OneRepublic,dance pop,2010,148,76,-6,225,4,77
All The Right Moves,OneRepublic,dance pop,2010,146,95,-4,238,5,65
Good Life,OneRepublic,dance pop,2011,95,69,-8,253,5,72
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,126,75,-6,215,4,69
Love Runs Out,OneRepublic,dance pop,2014,120,93,-4,225,6,66
I Lived,OneRepublic,dance pop,2015,120,85,-5,235,4,67
Wherever I Go,OneRepublic,dance pop,2016,100,69,-6,170,4,66
Rich Love (with Seeb),OneRepublic,dance pop,2017,105,87,-4,201,31,70
No Vacancy (with Sebastián Yatra),OneRepublic,dance pop,2017,100,76,-4,223,4,57
Good Time,Owl City,pop,2012,126,87,-4,206,14,73
Raise Your Glass,P!nk,dance pop,2011,122,64,-7,208,12,38
Try,P!nk,dance pop,2012,104,63,-7,248,3,74
Blow Me (One Last Kiss),P!nk,dance pop,2012,114,92,-3,256,4,0
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,95,55,-7,243,5,81
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,163,70,-6,215,15,71
What About Us,P!nk,dance pop,2018,114,59,-6,272,6,66
Only Love Can Hurt Like This,Paloma Faith,british soul,2015,91,89,-5,233,8,69
Let Her Go,Passenger,folk-pop,2014,75,54,-7,253,6,77
Beautiful Birds (feat. Birdy),Passenger,folk-pop,2016,86,17,-13,214,3,36
"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160,82,-5,233,18,79
Come Get It Bae,Pharrell Williams,dance pop,2014,120,80,-6,202,8,59
Give Me Everything,Pitbull,dance pop,2011,129,94,-3,252,16,79
International Love,Pitbull,dance pop,2012,120,86,-3,227,5,72
Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,127,96,-4,206,9,59
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,136,76,-4,230,16,70
Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013,95,84,-4,207,3,35
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014,125,94,-4,222,7,56
Fireball (feat. John Ryan),Pitbull,dance pop,2015,123,94,-5,235,6,67
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015,127,85,-3,193,6,50
Time of Our Lives,Pitbull,dance pop,2015,124,80,-6,229,6,45
Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,2017,115,83,-6,245,27,54
Messin' Around,Pitbull,dance pop,2017,158,81,-5,223,5,51
All Around The World (La La La),R3HAB,big room,2019,125,86,-5,148,3,82
Boom Boom,RedOne,moroccan pop,2018,110,76,-8,248,5,53
Mr. Put It Down,Ricky Martin,dance pop,2015,128,78,-6,196,18,42
Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,-4,235,4,73
Hard,Rihanna,barbadian pop,2010,182,75,-4,251,11,57
What's My Name?,Rihanna,barbadian pop,2011,100,79,-3,263,7,69
We Found Love,Rihanna,barbadian pop,2011,128,77,-4,215,4,61
Cheers (Drink To That),Rihanna,barbadian pop,2011,80,91,-4,262,4,58
S&M Remix,Rihanna,barbadian pop,2011,128,81,-3,257,5,54
Where Have You Been,Rihanna,barbadian pop,2012,128,85,-6,243,9,68
Diamonds,Rihanna,barbadian pop,2012,92,71,-5,225,5,61
You Da One,Rihanna,barbadian pop,2012,127,72,-5,200,4,57
Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013,130,74,-6,186,4,42
FourFiveSeconds,Rihanna,barbadian pop,2015,206,27,-6,188,5,80
American Oxygen,Rihanna,barbadian pop,2015,78,75,-6,320,9,61
Needed Me,Rihanna,barbadian pop,2016,111,31,-8,192,24,80
Work,Rihanna,barbadian pop,2016,92,53,-6,219,9,78
Love On The Brain,Rihanna,barbadian pop,2018,172,64,-5,224,5,82
Anywhere,Rita Ora,dance pop,2018,107,80,-4,215,6,74
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,2018,94,69,-4,221,5,64
Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,123,82,-5,219,6,60
OK - Spotify Version,Robin Schulz,dance pop,2017,122,81,-6,189,6,69
Blurred Lines,Robin Thicke,dance pop,2013,120,60,-5,264,4,76
Give It 2 U,Robin Thicke,dance pop,2013,127,83,-4,230,7,41
Lay It All on Me,Rudimental,dance pop,2015,123,75,-7,242,4,62
These Days,Rudimental,dance pop,2018,92,81,-4,211,5,80
Stay With Me,Sam Smith,pop,2014,84,42,-6,173,4,85
I'm Not The Only One,Sam Smith,pop,2015,82,49,-6,239,4,84
How Do You Sleep?,Sam Smith,pop,2019,111,68,-5,202,9,93
Brave,Sara Bareilles,acoustic pop,2013,185,84,-4,221,5,71
Eenie Meenie,Sean Kingston,dance pop,2010,121,61,-4,202,3,71
Come & Get It,Selena Gomez,dance pop,2013,80,79,-4,232,5,57
The Heart Wants What It Wants,Selena Gomez,dance pop,2015,83,79,-5,227,4,72
Same Old Love,Selena Gomez,dance pop,2015,98,59,-4,229,3,69
Hands To Myself,Selena Gomez,dance pop,2016,111,50,-7,201,12,71
Kill Em With Kindness,Selena Gomez,dance pop,2016,120,88,-5,218,4,70
Wolves,Selena Gomez,dance pop,2018,125,80,-5,198,4,83
Bad Liar,Selena Gomez,dance pop,2018,121,41,-6,215,7,75
Lose You To Love Me,Selena Gomez,dance pop,2019,102,34,-9,206,4,97
Naturally,Selena Gomez & The Scene,dance pop,2010,133,90,-5,203,5,64
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,117,68,-4,188,5,76
Trampoline (with ZAYN),SHAED,electropop,2019,127,46,-6,184,3,92
Loca,Shakira,colombian pop,2010,112,87,-4,193,7,56
Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014,138,81,-4,207,7,62
La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,2014,128,82,-5,198,4,50
Stitches,Shawn Mendes,canadian pop,2015,150,75,-7,207,7,78
Stitches,Shawn Mendes,canadian pop,2016,150,75,-7,207,7,78
Don't Be A Fool,Shawn Mendes,canadian pop,2016,175,34,-6,216,4,65
I Know What You Did Last Summer,Shawn Mendes,canadian pop,2016,114,77,-5,224,10,57
Treat You Better,Shawn Mendes,canadian pop,2017,83,82,-4,188,34,84
Mercy,Shawn Mendes,canadian pop,2017,148,66,-5,209,8,81
There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,122,81,-4,199,6,84
In My Blood,Shawn Mendes,canadian pop,2018,140,71,-7,211,7,83
Youth (feat. Khalid),Shawn Mendes,canadian pop,2018,100,60,-7,191,12,75
Nervous,Shawn Mendes,canadian pop,2018,122,62,-7,164,8,71
Señorita,Shawn Mendes,canadian pop,2019,117,54,-6,191,3,95
Chandelier,Sia,australian dance,2014,174,78,-3,216,7,56
Elastic Heart,Sia,australian dance,2015,130,79,-5,257,5,73
Alive,Sia,australian dance,2015,100,76,-4,264,5,61
Cheap Thrills,Sia,australian dance,2016,90,80,-5,225,22,64
The Greatest,Sia,australian dance,2017,192,73,-6,210,27,76
Free Me,Sia,australian dance,2017,87,46,-4,286,3,44
Easy Love,Sigala,dance pop,2015,124,94,-4,230,6,67
Came Here for Love,Sigala,dance pop,2017,125,87,-3,203,4,70
Electricity (with Dua Lipa),Silk City,edm,2018,118,67,-6,238,5,82
Turning Page,Sleeping At Last,acoustic pop,2011,125,38,-8,255,3,46
Cruel (feat. ZAYN),Snakehips,dance pop,2016,110,88,-4,228,12,63
Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,129,84,-3,213,5,78
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,80,86,-5,329,39,49
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,80,86,-5,329,39,49
Dynamite,Taio Cruz,dance pop,2010,120,78,-4,203,9,77
Break Your Heart,Taio Cruz,dance pop,2010,122,90,-5,186,3,33
I Knew You Were Trouble.,Taylor Swift,pop,2012,77,47,-7,220,4,77
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86,68,-6,193,9,75
We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,86,68,-6,193,9,75
Shake It Off,Taylor Swift,pop,2014,160,80,-5,219,17,78
Out Of The Woods,Taylor Swift,pop,2016,92,84,-7,236,4,66
Look What You Made Me Do,Taylor Swift,pop,2018,128,71,-6,212,12,75
End Game,Taylor Swift,pop,2018,159,59,-6,245,6,70
...Ready For It? - BloodPop® Remix,Taylor Swift,pop,2018,160,84,-5,190,22,52
The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,81,-8,308,7,70
Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,63,-7,284,7,68
Imma Be,The Black Eyed Peas,dance pop,2010,92,52,-7,258,37,62
Rock That Body,The Black Eyed Peas,dance pop,2010,125,91,-6,269,10,59
Just Can’t Get Enough,The Black Eyed Peas,dance pop,2011,94,63,-9,219,18,71
#SELFIE,The Chainsmokers,electropop,2014,128,92,-3,184,25,65
Don't Let Me Down,The Chainsmokers,electropop,2016,160,87,-5,208,17,81
Roses,The Chainsmokers,electropop,2016,100,80,-7,227,6,74
All We Know,The Chainsmokers,electropop,2016,90,59,-9,194,3,72
Closer,The Chainsmokers,electropop,2017,95,52,-6,245,3,86
Something Just Like This,The Chainsmokers,electropop,2017,103,65,-7,248,4,78
Paris,The Chainsmokers,electropop,2017,100,64,-7,222,3,76
Sick Boy,The Chainsmokers,electropop,2018,90,58,-8,193,5,76
Takeaway,The Chainsmokers,electropop,2019,100,51,-8,210,3,83
Call You Mine,The Chainsmokers,electropop,2019,104,70,-6,218,3,81
Kills You Slowly,The Chainsmokers,electropop,2019,150,44,-9,213,6,67
Hall of Fame,The Script,celtic rock,2013,85,87,-4,203,6,80
Glad You Came,The Wanted,boy band,2012,127,85,-4,198,6,72
Walks Like Rihanna,The Wanted,boy band,2013,126,82,-3,202,6,62
We Own The Night,The Wanted,boy band,2013,104,94,-4,206,13,56
The Hills,The Weeknd,canadian contemporary r&b,2015,113,56,-7,242,5,84
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,120,38,-6,252,3,79
The Hills,The Weeknd,canadian contemporary r&b,2016,113,56,-7,242,5,84
Starboy,The Weeknd,canadian contemporary r&b,2017,186,59,-7,230,28,85
I Feel It Coming,The Weeknd,canadian contemporary r&b,2017,93,82,-6,269,12,81
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,91,95,-4,220,7,52
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,91,95,-4,220,7,52
Cool Girl,Tove Lo,dance pop,2016,102,69,-7,199,11,69
Influence,Tove Lo,dance pop,2017,105,59,-10,225,5,54
"Hey, Soul Sister",Train,neo mellow,2010,97,89,-4,217,4,83
My My My!,Troye Sivan,dance pop,2018,103,46,-8,205,8,76
OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,-6,269,3,72
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,-3,221,11,52
#thatPOWER,will.i.am,dance pop,2013,128,61,-6,280,6,68
See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,80,48,-8,230,8,56
Desire,Years & Years,dance pop,2016,126,78,-5,203,6,58
Never Forget You,Zara Larsson,dance pop,2015,146,73,-6,213,5,77
PILLOWTALK,ZAYN,dance pop,2016,125,70,-4,204,5,66
LIKE I WOULD,ZAYN,dance pop,2016,113,83,-6,192,11,65
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2017,118,45,-8,245,6,78
Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,180,44,-7,239,4,83
Let Me,ZAYN,dance pop,2018,168,57,-6,185,5,72
Clarity,Zedd,complextro,2013,128,78,-3,271,7,75
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,128,74,-3,217,4,64
I Want You To Know,Zedd,complextro,2015,130,85,-3,240,6,68
True Colors,Zedd,complextro,2016,126,79,-3,225,4,51
Stay,Zedd,complextro,2017,102,62,-5,210,6,80
Get Low (with Liam Payne),Zedd,complextro,2017,108,93,-4,205,5,66
